Code,Country,Year,Series,Value
4,Afghanistan,2004,Threatened Species: Vertebrates (number),31.00
4,Afghanistan,2010,Threatened Species: Vertebrates (number),31.00
4,Afghanistan,2015,Threatened Species: Vertebrates (number),31.00
4,Afghanistan,2018,Threatened Species: Vertebrates (number),34.00
4,Afghanistan,2019,Threatened Species: Vertebrates (number),33.00
4,Afghanistan,2020,Threatened Species: Vertebrates (number),33.00
4,Afghanistan,2021,Threatened Species: Vertebrates (number),38.00
4,Afghanistan,2004,Threatened Species: Invertebrates (number),1.00
4,Afghanistan,2010,Threatened Species: Invertebrates (number),1.00
4,Afghanistan,2015,Threatened Species: Invertebrates (number),2.00
4,Afghanistan,2018,Threatened Species: Invertebrates (number),2.00
4,Afghanistan,2019,Threatened Species: Invertebrates (number),2.00
4,Afghanistan,2020,Threatened Species: Invertebrates (number),2.00
4,Afghanistan,2021,Threatened Species: Invertebrates (number),2.00
4,Afghanistan,2004,Threatened Species: Plants (number),1.00
4,Afghanistan,2010,Threatened Species: Plants (number),2.00
4,Afghanistan,2015,Threatened Species: Plants (number),5.00
4,Afghanistan,2018,Threatened Species: Plants (number),5.00
4,Afghanistan,2019,Threatened Species: Plants (number),5.00
4,Afghanistan,2020,Threatened Species: Plants (number),5.00
4,Afghanistan,2021,Threatened Species: Plants (number),8.00
4,Afghanistan,2004,Threatened Species: Total (number),33.00
4,Afghanistan,2010,Threatened Species: Total (number),34.00
4,Afghanistan,2015,Threatened Species: Total (number),38.00
4,Afghanistan,2018,Threatened Species: Total (number),41.00
4,Afghanistan,2019,Threatened Species: Total (number),40.00
4,Afghanistan,2020,Threatened Species: Total (number),40.00
4,Afghanistan,2021,Threatened Species: Total (number),48.00
8,Albania,2004,Threatened Species: Vertebrates (number),33.00
8,Albania,2010,Threatened Species: Vertebrates (number),53.00
8,Albania,2015,Threatened Species: Vertebrates (number),54.00
8,Albania,2018,Threatened Species: Vertebrates (number),62.00
8,Albania,2019,Threatened Species: Vertebrates (number),61.00
8,Albania,2020,Threatened Species: Vertebrates (number),64.00
8,Albania,2021,Threatened Species: Vertebrates (number),70.00
8,Albania,2004,Threatened Species: Invertebrates (number),4.00
8,Albania,2010,Threatened Species: Invertebrates (number),47.00
8,Albania,2015,Threatened Species: Invertebrates (number),58.00
8,Albania,2018,Threatened Species: Invertebrates (number),71.00
8,Albania,2019,Threatened Species: Invertebrates (number),71.00
8,Albania,2020,Threatened Species: Invertebrates (number),73.00
8,Albania,2021,Threatened Species: Invertebrates (number),72.00
8,Albania,2004,Threatened Species: Plants (number),0.00
8,Albania,2010,Threatened Species: Plants (number),0.00
8,Albania,2015,Threatened Species: Plants (number),0.00
8,Albania,2018,Threatened Species: Plants (number),4.00
8,Albania,2019,Threatened Species: Plants (number),5.00
8,Albania,2020,Threatened Species: Plants (number),5.00
8,Albania,2021,Threatened Species: Plants (number),5.00
8,Albania,2004,Threatened Species: Total (number),37.00
8,Albania,2010,Threatened Species: Total (number),100.00
8,Albania,2015,Threatened Species: Total (number),112.00
8,Albania,2018,Threatened Species: Total (number),137.00
8,Albania,2019,Threatened Species: Total (number),137.00
8,Albania,2020,Threatened Species: Total (number),142.00
8,Albania,2021,Threatened Species: Total (number),147.00
10,Antarctica,2004,Threatened Species: Vertebrates (number),8.00
10,Antarctica,2010,Threatened Species: Vertebrates (number),6.00
10,Antarctica,2015,Threatened Species: Vertebrates (number),6.00
10,Antarctica,2018,Threatened Species: Vertebrates (number),6.00
10,Antarctica,2019,Threatened Species: Vertebrates (number),6.00
10,Antarctica,2020,Threatened Species: Vertebrates (number),6.00
10,Antarctica,2021,Threatened Species: Vertebrates (number),8.00
10,Antarctica,2004,Threatened Species: Invertebrates (number),0.00
10,Antarctica,2010,Threatened Species: Invertebrates (number),0.00
10,Antarctica,2015,Threatened Species: Invertebrates (number),0.00
10,Antarctica,2018,Threatened Species: Invertebrates (number),0.00
10,Antarctica,2019,Threatened Species: Invertebrates (number),0.00
10,Antarctica,2020,Threatened Species: Invertebrates (number),0.00
10,Antarctica,2021,Threatened Species: Invertebrates (number),0.00
10,Antarctica,2004,Threatened Species: Plants (number),0.00
10,Antarctica,2010,Threatened Species: Plants (number),0.00
10,Antarctica,2015,Threatened Species: Plants (number),0.00
10,Antarctica,2018,Threatened Species: Plants (number),0.00
10,Antarctica,2019,Threatened Species: Plants (number),0.00
10,Antarctica,2020,Threatened Species: Plants (number),0.00
10,Antarctica,2021,Threatened Species: Plants (number),0.00
10,Antarctica,2004,Threatened Species: Total (number),8.00
10,Antarctica,2010,Threatened Species: Total (number),6.00
10,Antarctica,2015,Threatened Species: Total (number),6.00
10,Antarctica,2018,Threatened Species: Total (number),6.00
10,Antarctica,2019,Threatened Species: Total (number),6.00
10,Antarctica,2020,Threatened Species: Total (number),6.00
10,Antarctica,2021,Threatened Species: Total (number),8.00
12,Algeria,2004,Threatened Species: Vertebrates (number),36.00
12,Algeria,2010,Threatened Species: Vertebrates (number),69.00
12,Algeria,2015,Threatened Species: Vertebrates (number),71.00
12,Algeria,2018,Threatened Species: Vertebrates (number),80.00
