,Code,Country,Year,Invertebrates,Vertebrates,Plants,Total
0,4,Afghanistan,2004,1.0,31.0,1.0,33.0
1,4,Afghanistan,2010,1.0,31.0,2.0,34.0
2,4,Afghanistan,2015,2.0,31.0,5.0,38.0
3,4,Afghanistan,2018,2.0,34.0,5.0,41.0
4,4,Afghanistan,2019,2.0,33.0,5.0,40.0
5,4,Afghanistan,2020,2.0,33.0,5.0,40.0
6,4,Afghanistan,2021,2.0,38.0,8.0,48.0
7,8,Albania,2004,4.0,33.0,0.0,37.0
8,8,Albania,2010,47.0,53.0,0.0,100.0
9,8,Albania,2015,58.0,54.0,0.0,112.0
10,8,Albania,2018,71.0,62.0,4.0,137.0
11,8,Albania,2019,71.0,61.0,5.0,137.0
12,8,Albania,2020,73.0,64.0,5.0,142.0
13,8,Albania,2021,72.0,70.0,5.0,147.0
14,10,Antarctica,2004,0.0,8.0,0.0,8.0
15,10,Antarctica,2010,0.0,6.0,0.0,6.0
16,10,Antarctica,2015,0.0,6.0,0.0,6.0
17,10,Antarctica,2018,0.0,6.0,0.0,6.0
18,10,Antarctica,2019,0.0,6.0,0.0,6.0
19,10,Antarctica,2020,0.0,6.0,0.0,6.0
20,10,Antarctica,2021,0.0,8.0,0.0,8.0
21,12,Algeria,2004,12.0,36.0,2.0,50.0
22,12,Algeria,2010,21.0,69.0,15.0,105.0
23,12,Algeria,2015,26.0,71.0,17.0,114.0
24,12,Algeria,2018,40.0,80.0,23.0,143.0
25,12,Algeria,2019,40.0,81.0,24.0,145.0
26,12,Algeria,2020,42.0,85.0,28.0,155.0
27,12,Algeria,2021,42.0,96.0,32.0,170.0
28,16,American Samoa,2004,5.0,18.0,1.0,24.0
29,16,American Samoa,2010,57.0,21.0,1.0,79.0
30,16,American Samoa,2015,64.0,25.0,1.0,90.0
31,16,American Samoa,2018,64.0,27.0,1.0,92.0
32,16,American Samoa,2019,65.0,29.0,1.0,95.0
33,16,American Samoa,2020,65.0,32.0,2.0,99.0
34,16,American Samoa,2021,66.0,34.0,2.0,102.0
35,20,Andorra,2004,4.0,1.0,0.0,5.0
36,20,Andorra,2010,4.0,4.0,0.0,8.0
37,20,Andorra,2015,7.0,4.0,0.0,11.0
38,20,Andorra,2018,8.0,6.0,0.0,14.0
39,20,Andorra,2019,8.0,6.0,1.0,15.0
40,20,Andorra,2020,8.0,6.0,1.0,15.0
41,20,Andorra,2021,7.0,6.0,1.0,14.0
42,24,Angola,2004,6.0,44.0,26.0,76.0
43,24,Angola,2010,7.0,77.0,33.0,117.0
44,24,Angola,2015,9.0,87.0,34.0,130.0
45,24,Angola,2018,11.0,108.0,35.0,154.0
46,24,Angola,2019,11.0,111.0,36.0,158.0
47,24,Angola,2020,11.0,117.0,43.0,171.0
48,24,Angola,2021,11.0,134.0,48.0,193.0
49,28,Antigua and Barbuda,2004,0.0,18.0,4.0,22.0
50,28,Antigua and Barbuda,2010,11.0,23.0,4.0,38.0
51,28,Antigua and Barbuda,2015,11.0,38.0,4.0,53.0
52,28,Antigua and Barbuda,2018,11.0,41.0,4.0,56.0
53,28,Antigua and Barbuda,2019,11.0,44.0,4.0,59.0
54,28,Antigua and Barbuda,2020,11.0,47.0,3.0,61.0
55,28,Antigua and Barbuda,2021,11.0,60.0,2.0,73.0
56,31,Azerbaijan,2004,6.0,32.0,0.0,38.0
57,31,Azerbaijan,2010,4.0,41.0,0.0,45.0
